Player_id,Player,Match,Balls,Runs,Wkts,BBI,Avg,Econ,SR,5WI,W/O %ge
1,Joe Root,156,544,994,95,5/15',10.46,10.96,5.73,1,1.047794118
2,Rashid Khan,352,3274,5165,480,6/2',10.76,9.47,6.8,4,0.879657911
3,Shikhar Dhawan,115,39,54,5,2/5',10.8,8.3,7.8,0,0.769230769
4,Johnny Bairstow,330,31,54,3,1/0',18,10.45,10.33,0,0.580645161
5,Klassen,74,41,76,7,2/11',10.86,11.12,5.86,0,1.024390244
6,Naraine,118,1201,1981,201,6/14',9.86,9.9,5.98,3,1.004163197
7,Cummins,209,1685,2889,239,5/10',12.09,10.29,7.05,4,0.851038576
8,BlacKhatta,45,467,846,69,4/21',12.26,10.87,6.77,0,0.886509636
9,Neesham,300,1412,2388,176,4/10',13.57,10.15,8,0,0.747875354
10,Holder,241,1120,1923,130,4/6',14.79,10.3,8.6,0,0.696428571
11,De Kock,31,18,28,1,1/4',28,9.33,18,0,0.333333333
12,Hasranga,36,325,624,47,4/21',13.28,11.52,6.91,0,0.867692308
13,Asif Ali,258,173,308,24,3/6',12.83,10.68,7.21,0,0.832369942
14,KL Rahul,127,6,11,0,0,0,11,0,0,0
15,Jadeja,295,1822,3141,278,5/11',11.3,10.34,6.5,2,0.915477497
16,Pollard,320,1514,2466,177,4/12',13.9,9.77,8.55,0,0.701453104
17,Mitch marsh,263,773,1330,102,4/12',13.04,10.32,7.58,0,0.791720569
18,Hazelwood,163,1351,2247,152,5/24',14.78,9.98,8.89,1,0.675055514
19,Cam Green,42,115,192,15,2/5',12.8,10.02,7.67,0,0.782608696
20,Sid Gupta,38,401,545,59,3/0',9.24,8.15,6.8,0,0.882793018
21,Moeen Ali,237,1121,2046,169,5/17',12.11,10.95,6.63,1,0.904549509
22,Nicky p,132,63,97,12,2/2',8.08,9.24,5.25,0,1.142857143
23,Aaron Finch,357,810,1538,125,4/1',11.5,10.65,6.48,0,0.925925926
24,Shakib Al Hassan,94,519,883,81,5/19',10.9,10.21,6.41,1,0.936416185
25,Rohit Sharma,318,444,864,66,3/4',13.09,11.68,6.72,0,0.891891892
26,Dwayne Bravo,122,1077,1595,153,5/9',10.42,8.89,7.04,0,0.852367688
27,Chris Gayle,354,1602,2785,234,5/18',11.9,10.4,6.85,0,0.876404494
28,Jos Butler,342,129,223,22,3/1',9.59,10.29,5.59,0,1.023255814
29,Ross Taylor,192,123,246,23,3/27',10.23,12.16,5.05,0,1.12195122
30,Faf du Plesis,121,143,298,18,3/15',16.56,12.5,7.94,0,0.755244755
31,Param Gill,42,325,598,53,4/9',11.28,11.04,6.13,0,0.978461539
32,Andre Russel,294,1396,2359,221,6/5',10.67,10.67,6.32,3,0.949856734
33,Md Amir,251,2125,3487,281,4/1',12.4,9.85,7.56,0,0.793411765
34,Axar patel,92,629,1108,90,5/3',12.3,10.57,6.99,2,0.858505564
35,Liam Livingstgone,149,584,983,92,5/14',10.68,10.1,6.35,1,0.94520548
36,Hardik pandya,112,690,1055,92,3/5',11.47,9.17,7.5,0,0.8
37,Stoinis,205,1108,1577,172,5/10',9.17,8.54,6.44,2,0.931407942
38,Merideth,123,1127,1815,168,6/6',10.8,9.66,6.71,1,0.894409938
39,Tim David,136,242,424,38,3/12',11.16,10.51,6.37,0,0.94214876
40,Harry Brooke,18,0,0,0,0,0,NA,0,0,#DIV/0!
41,David Warner,246,314,470,44,5/5',10.68,8.98,7.14,1,0.840764331
42,Ben Stokes,314,1787,2921,235,4/11',12.43,9.81,7.6,0,0.789031897
43,Archer,318,2483,4437,319,5/8',13.9,10.7,7.78,3,0.770841724
44,Guptil,251,431,748,57,4/11',13.12,10.4,7.56,0,0.79350348
45,Daryl Mitchel,143,377,692,47,3/9',14.72,11.01,8.02,0,0.74801061
46,Rishab Pant,327,54,146,5,2/17',29.2,16.22,10.8,0,0.555555556
47,Trent Boult,170,1307,2450,165,4/10',14.85,11.25,7.92,0,0.757459832
48,Mark Wood,164,1250,2090,173,4/7',12.08,10.03,7.23,0,0.8304
49,Woakes,196,1584,2298,217,5/5',10.59,8.7,7.3,1,0.821969697
50,Maxwel,309,1435,2364,228,5/4',10.37,9.88,6.29,1,0.953310105
51,jason Roy,229,81,176,13,4/16',13.54,13.04,6.23,0,0.962962963
52,Shami,78,655,1237,77,4/19',16.06,11.33,8.51,,0.705343512
53,Lyon,19,185,241,31,4/9',7.77,7.82,5.97,,1.005405405
54,Fin Allen,16,12,13,1,1/1',13,6.5,12,,0.5
55,Ashwin,200,1700,2600,232,4/5',11.21,9.18,7.3,,0.818823529
56,Rabada,58,380,702,33,3/15',21.27,11.08,11.52,,0.521052632
57,Head,30,70,130,11,3/37,11.82,11.14,6.36,,0.942857143
58,Markram,39,112,201,18,3/19',11.17,10..77,6.22,,0.964285714
59,Adil Rashid,101,828,1143,135,5/13',8.47,8.28,6.13,1,0.97826087
60,Zampa,52,402,577,62,3/1',9.31,8.61,6.48,,0.925373134
61,Bhuvneshwar Kumar,46,396,588,50,4/15',11.76,8.9,7.92,0,0.757575758
62,Kuldeep Yadav,49,362,473,52,4/8',9.1,7.84,6.96,,0.861878453
